"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 21/22","Enforcements since 21/22"
NA,"Voluntary or Not for Profit","Sauchiehall Street Project","Glasgow","Adults","08/10/2019",5,5,NA,5,4,"13/09/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","Holland Street Project","Glasgow","Adults","10/05/2019",5,5,NA,5,5,"04/02/2019","2004_10",1,1
NA,"Voluntary or Not for Profit","Musselburgh Project","Musselburgh","Adults","18/09/2018",5,5,NA,5,6,"10/08/2018","2004_10",0,0
NA,"Voluntary or Not for Profit","Action for Children - GENR8","Glasgow","Adults","09/07/2018",5,5,NA,5,5,"05/06/2018","2004_11",0,0
NA,"Voluntary or Not for Profit","Action for Children - New Horizons","Haddington","Adults","20/12/2018",5,5,NA,5,5,"26/10/2018","2004_11",0,0
NA,"Voluntary or Not for Profit","Action for Children - Canal Project Housing Support Service","Glasgow","Adults","15/05/2018",5,5,NA,4,4,"10/03/2016","2004_10",0,0
NA,"Voluntary or Not for Profit","Lyssenmore","Saltcoats","Adults","03/01/2020",4,4,NA,5,4,"04/11/2019","2004_9",0,0
NA,"Local Authority","Dundee City Council- Housing Support Team","Dundee","Adults","31/10/2016",5,5,NA,6,5,"11/10/2016","2004_11",0,0
NA,"Local Authority","Mull & Iona, Coll & Tiree and Colonsay Home Care Service/Housing Support Service","Argyll And Bute","Adults","20/12/2019",5,5,NA,4,4,"20/09/2019","2004_11",0,0
NA,"Private","Ailsa Care Services West","Glasgow","Adults","21/12/2021",4,3,NA,3,3,"08/12/2021","2004_11",1,1
NA,"Private","The Scottish Schemes","Glasgow","Adults","21/09/2017",5,5,NA,4,5,"03/08/2017","2004_9",0,0
NA,"Private","Guardian Care Homes (UK) Ltd - Trafalgar Close","Coldstream","Adults","09/08/2023",2,2,NA,4,2,"28/11/2023","2004_9",0,0
NA,"Private","Lifeways Community Care Limited (Avon)","Glasgow","Adults","10/08/2023",3,3,NA,3,4,"09/08/2023","2004_11",0,0
NA,"Local Authority","Stirling Council Reablement and Tec Services","Stirling","Adults","29/11/2022",5,5,NA,5,5,"02/11/2023","2004_11",0,0
NA,"Local Authority","Housing Management & Development","Stirling","Adults","03/10/2016",6,6,NA,5,5,"30/08/2016","2004_11",0,0
NA,"Voluntary or Not for Profit","Gaberston Housing Support Service","Alloa","Adults","28/03/2023",5,5,NA,5,5,"12/01/2023","2004_10",0,0
NA,"Local Authority","The Castings Hostel","Falkirk","Adults","09/05/2023",4,5,NA,5,4,"19/01/2023","2004_11",0,0
NA,"Local Authority","Mid - Argyll, Kintyre, Islay and Jura Home Care Service","Campbeltown","Adults","08/09/2020",4,4,NA,4,4,"05/03/2020","2005_4",0,0
NA,"Private","Real Care Agency","East Kilbride","Adults","28/06/2023",4,4,NA,5,4,"16/05/2023","2004_11",2,2
NA,"Local Authority","Renfrewshire Council Home Care Service","Paisley","Adults","10/01/2023",4,4,NA,4,3,"01/12/2022","2004_11",1,1
NA,"Local Authority","Perth & Kinross Council - Homeless Housing Support Service","Perth","Adults","23/02/2018",6,6,NA,6,6,"30/01/2018","2004_11",0,0
NA,"Private","Grangemouth Carers Ltd","Grangemouth","Adults","20/03/2023",5,5,NA,5,4,"02/03/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Phoenix Futures Glasgow Resettlement Service","Glasgow","Adults","16/08/2023",5,5,NA,5,4,"18/07/2023","2005_1",0,0
NA,"Local Authority","City of Edinburgh Council Family and Household Support North West","Edinburgh","Adults","05/04/2017",5,5,NA,5,5,"01/03/2017","2004_9",0,0
NA,"Voluntary or Not for Profit","Thistle Foundation","Edinburgh","Adults","22/04/2020",5,5,NA,5,5,"05/02/2020","2004_7",0,0
NA,"Voluntary or Not for Profit","Edinburgh Women's Aid","Edinburgh","Adults","22/01/2019",5,5,NA,5,4,"27/11/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","Action Group - Team A","Edinburgh","Adults","03/11/2023",4,3,NA,3,4,"18/10/2023","2004_7",1,1
NA,"Voluntary or Not for Profit","Western Isles Foyer","Stornoway","Adults","04/07/2018",5,5,NA,4,5,"28/05/2018","2005_9",0,0
NA,"Local Authority","Housing Support Shetland","Shetland","Adults","18/09/2019",5,5,NA,5,5,"11/09/2019","2005_1",0,0
NA,"Voluntary or Not for Profit","SAMH - Edinburgh Support Service","Edinburgh","Adults","18/03/2019",4,4,NA,5,5,"05/02/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Glasgow Personalisation Service","Glasgow","Adults","17/04/2023",4,4,NA,4,4,"07/04/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","SAMH - Falkirk Support Service and Stirling Outreach","Airdrie","Adults","16/06/2020",5,5,NA,5,5,"20/02/2020","2004_11",0,0
NA,"Local Authority","Dundee City Council - Dundee Community Living","Dundee","Adults","03/10/2019",6,6,NA,6,6,"13/09/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","SAMH - Moray - Housing Support Service","Elgin","Adults","03/08/2020",6,6,NA,6,5,"06/03/2020","2004_11",0,0
NA,"Local Authority","Home Care Services - Mainstream Team","Kirkintilloch","Adults","31/07/2023",5,5,NA,5,5,"26/05/2023","2004_10",1,1
NA,"Voluntary or Not for Profit","Bethany Christian Trust Housing Support Fife","Leven","Adults","14/11/2017",5,5,NA,6,5,"26/10/2017","2004_12",0,0
NA,"Private","Dumfries Supported Living","Dumfries","Adults","23/06/2023",4,5,NA,5,4,"26/05/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Companas Outreach","Alness","Adults","13/08/2018",5,5,NA,4,5,"27/06/2018","2004_12",0,0
NA,"Voluntary or Not for Profit","Dumfries and Galloway Outreach Service","Dumfries","Adults","25/06/2018",5,5,NA,5,5,"20/03/2018","2004_12",0,0
NA,"Voluntary or Not for Profit","ELCAP Housing Support","Prestonpans","Adults","03/08/2018",5,5,NA,5,6,"03/07/2018","2004_11",0,0
NA,"Local Authority","GCC SWS Hostels and Supported Accommodation Project","Glasgow","Adults","22/01/2018",5,5,NA,5,5,"07/11/2017","2005_5",0,0
NA,"Voluntary or Not for Profit","Perth & Kinross and Forth Valley","Glasgow","Adults","08/10/2019",5,5,NA,5,5,"28/08/2019","2004_12",0,0
NA,"Local Authority","Scottish Borders Council - Homelessness Services","Galashiels","Adults","21/11/2023",5,5,NA,5,5,"01/11/2023","2004_9",0,0
NA,"Local Authority","Accommodation with Care and Housing Support (Fife)","Glenrothes","Adults","01/11/2023",4,5,NA,4,4,"11/10/2023","2005_1",1,1
NA,"Local Authority","Adult Services, Resources - Housing Support and Care At Home Service","Glenrothes","Adults","07/11/2023",2,5,NA,3,3,"12/04/2023","2005_1",0,0
NA,"Private","Dalriada Care at Home  Housing and Support","Bo'ness","Adults","30/01/2023",5,4,NA,4,5,"12/01/2023","2005_2",0,0
NA,"Local Authority","Lewis and Harris - Community Living Housing Support Service","Stornoway","Adults","18/11/2019",4,4,NA,4,3,"18/10/2019","2005_1",0,0
NA,"Local Authority","West Dunbartonshire Council Community Alarm Service","Clydebank","Adults","25/04/2017",5,5,NA,5,5,"30/03/2017","2005_2",0,0
NA,"Local Authority","Sheltered Housing Services","Glenrothes","Adults","08/01/2018",4,4,NA,5,4,"20/12/2017","2005_2",0,0
NA,"Voluntary or Not for Profit","Alzheimer Scotland - Croftspar Place Service","Glasgow","Adults","18/05/2023",5,5,NA,4,4,"04/05/2023","2005_7",0,0
NA,"Private","Community Care Choice","Glasgow","Adults","22/02/2022",5,4,NA,4,4,"27/01/2022","2005_6",0,0
NA,"Private","Argyll Homecare Ltd","Lochgilphead","Adults","21/01/2020",5,5,NA,5,4,"07/11/2019","2005_6",0,0
NA,"Voluntary or Not for Profit","Edinburgh Supported Living Services","Edinburgh","Adults","25/01/2023",4,4,NA,4,4,"20/10/2023","2005_2",1,1
NA,"Voluntary or Not for Profit","Community Directions","Glasgow","Adults","06/03/2023",5,5,NA,5,4,"26/01/2023","2005_4",0,0
NA,"Voluntary or Not for Profit","ACHA Sheltered Housing Service","Oban","Adults","09/05/2017",5,5,NA,5,4,"16/01/2017","2005_4",0,0
NA,"Local Authority","CNES - Housing Support","Stornoway","Adults","13/06/2016",6,6,NA,6,5,"24/05/2016","2005_7",0,0
NA,"Local Authority","Homelessness and Advice Service (Orkney)","Kirkwall","Adults","18/10/2016",4,4,NA,5,5,"01/09/2016","2005_8",0,0
NA,"Voluntary or Not for Profit","McFarlane Trust Ltd","Glasgow","Adults","02/03/2020",5,5,NA,4,5,"20/02/2020","2005_6",0,0
NA,"Local Authority","Renfrewshire Council Through Care Team","Paisley","Adults","20/06/2019",4,4,NA,4,4,"18/08/2020","2005_7",0,0
NA,"Private","Horizon Support","Leven","Adults","12/09/2017",5,5,NA,4,4,"23/08/2017","2006_1",0,0
NA,"Voluntary or Not for Profit","ASSIST","Aberdeen","Adults","13/06/2017",5,5,NA,5,5,"17/05/2017","2005_10",0,0
NA,"Private","Confident Care by My Life Limited","Kilmacolm","Adults","27/09/2019",4,4,NA,4,3,"09/08/2019","2006_1",0,0
NA,"Voluntary or Not for Profit","Emmaus Glasgow","Glasgow","Adults","24/08/2023",4,5,NA,5,3,"02/08/2023","2006_1",0,0
NA,"Local Authority","Kalisgarth and Very Sheltered Housing","Orkney","Adults","08/08/2023",4,5,NA,4,3,"10/10/2019","2006_3",0,0
NA,"Local Authority","Dundee City Council - Supported Living Team","Dundee","Adults","06/01/2020",6,6,NA,6,5,"01/10/2019","2006_6",0,0
NA,"Private","Care Services (Perth) Limited","Perth","Adults","13/07/2020",5,5,NA,5,5,"18/12/2019","2006_1",0,0
NA,"Private","North East Community Care Ltd","Turriff","Adults","15/12/2021",4,4,NA,4,4,"03/11/2021","2006_2",0,0
NA,"Local Authority","Sheltered Housing - Rutherglen/Cambuslang","Glasgow","Adults","14/08/2017",5,5,NA,5,5,"23/06/2017","2006_1",0,0
NA,"Local Authority","Sheltered Housing - Clydesdale","Lanark","Adults","10/01/2017",5,5,NA,5,5,"04/11/2016","2006_1",0,0
NA,"Local Authority","Sheltered Housing - Hamilton/Larkhall/Blantyre","Hamilton","Adults","31/05/2017",5,5,NA,5,5,"26/04/2017","2006_2",0,0
NA,"Local Authority","Angus Council - Young People Housing Support","Arbroath","Adults","06/02/2020",5,5,NA,5,5,"17/12/2019","2006_6",0,0
NA,"Voluntary or Not for Profit","Community Support Service - Glasgow & East Dunbartonshire","Glasgow","Adults","15/11/2019",4,4,NA,5,4,"11/10/2019","2007_4",0,0
NA,"Voluntary or Not for Profit","WHAT IF (Male)","Glasgow","Adults","27/03/2019",5,5,NA,5,5,"21/01/2019","2006_11",0,0
NA,"Voluntary or Not for Profit","Craigton Grove and Associated Housing","Peterculter","Adults","31/01/2023",4,5,NA,6,4,"06/12/2022","2006_12",0,0
NA,"Voluntary or Not for Profit","Carr Gomm Support Services 1","Glasgow","Adults","02/03/2023",5,5,NA,5,5,"07/02/2023","2006_6",0,0
NA,"Local Authority","Dundee City Council - Sheltered Housing Warden's Service","Dundee","Adults","18/12/2017",5,5,NA,5,5,"23/11/2017","2006_4",0,0
NA,"Voluntary or Not for Profit","The Haven Kilmacolm","Kilmacolm","Adults","26/09/2023",4,3,NA,4,4,"25/08/2023","2006_3",0,0
NA,"Local Authority","Disability Resources Support Accommodation Service","Kirkwall","Adults","02/11/2023",5,4,NA,4,5,"09/10/2023","2006_11",0,0
NA,"Voluntary or Not for Profit","Leonard Cheshire Disability - Trafalgar Lane - Supported Living","Edinburgh","Adults","08/08/2023",3,3,NA,4,5,"04/05/2023","2006_4",0,0
NA,"Private","Mochridhe Homecare & Housing Support","Glasgow","Adults","30/01/2023",5,5,NA,5,5,"17/01/2023","2006_9",0,0
NA,"Voluntary or Not for Profit","What If (Female) Project","Glasgow","Adults","11/06/2021",5,5,NA,5,5,"17/05/2021","2006_5",0,0
NA,"Local Authority","Stomaigh Support Service","Isle Of North Uist","Adults","09/01/2023",5,5,NA,5,5,"09/12/2022","2006_11",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Scottish Borders","Melrose","Adults","19/04/2023",3,4,NA,5,3,"21/03/2023","2006_12",1,1
NA,"Voluntary or Not for Profit","Wheatley Care Stirling Housing Support Service","Stirling","Adults","24/10/2018",4,4,NA,5,5,"16/08/2018","2006_7",0,0
NA,"Voluntary or Not for Profit","Action Group - Team C","Edinburgh","Adults","29/01/2020",5,5,NA,5,5,"23/08/2019","2006_9",0,0
NA,"Voluntary or Not for Profit","George Street Project","Aberdeen","Adults","30/05/2019",5,5,NA,5,5,"10/05/2019","2006_7",0,0
NA,"Voluntary or Not for Profit","Penumbra - Glasgow ARBD Supported Living Service","Glasgow","Adults","01/02/2023",5,6,NA,6,4,"21/12/2022","2006_11",0,0
NA,"Local Authority","South Ayrshire Care at Home","Ayr","Adults","23/07/2020",5,5,NA,5,5,"13/10/2023","2006_8",0,0
NA,"Voluntary or Not for Profit","NAS SW Scotland Supported Living","Mauchline","Adults","01/11/2023",4,5,NA,4,4,"12/10/2023","2007_2",0,0
NA,"Voluntary or Not for Profit","Hillcrest Futures - Dundee Learning Disability Services","Dundee","Adults","28/06/2022",5,5,NA,5,5,"16/05/2022","2007_7",0,0
NA,"Voluntary or Not for Profit","ARBD Southside Response","Glasgow","Adults","20/01/2023",4,5,NA,5,4,"11/01/2023","2007_5",0,0
NA,"Voluntary or Not for Profit","North Lanarkshire Intensive Housing Support Service","Motherwell","Adults","12/06/2019",6,6,NA,6,5,"26/04/2019","2006_11",0,0
NA,"Voluntary or Not for Profit","Monklands Women's Aid","Airdrie","Adults","18/04/2019",6,6,NA,6,6,"11/03/2019","2008_8",0,0
NA,"Private","CarePlus","Isle Of Bute","Adults","06/06/2023",5,4,NA,4,4,"03/05/2023","2008_6",1,1
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Perth Services","Perth","Adults","31/01/2020",5,5,NA,4,5,"18/12/2019","2007_2",0,0
NA,"Voluntary or Not for Profit","Arboretum Outreach","Edinburgh","Adults","21/03/2023",4,4,NA,4,4,"17/01/2023","2007_1",0,0
NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self Directed Support Services (Renfrewshire)","Linwood","Adults","26/09/2023",5,5,NA,5,5,"31/08/2023","2008_4",0,0
NA,"Voluntary or Not for Profit","Real Life Options Fraserburgh","Fraserburgh","Adults","23/01/2020",5,5,NA,4,5,"22/11/2023","2007_1",0,0
NA,"Voluntary or Not for Profit","Renfrew Project","Renfrew","Adults","08/05/2019",5,5,NA,5,5,"22/02/2019","2007_5",0,0
NA,"Voluntary or Not for Profit","Wheatley Care South Lanarkshire Personalised Support Services","Hamilton","Adults","06/01/2020",5,5,NA,4,5,"15/11/2019","2007_4",0,0
NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self Directed Support - Mental Health","Glasgow","Adults","15/08/2023",5,5,NA,5,5,"12/07/2023","2007_7",0,0
NA,"Voluntary or Not for Profit","Dunedin Harbour Hostel","Edinburgh","Adults","10/10/2023",5,5,NA,5,5,"19/09/2023","2007_2",0,0
NA,"Local Authority","Falkirk Council Housing with Care Service","Falkirk","Adults","07/07/2023",5,4,NA,5,5,"01/06/2023","2007_3",0,0
NA,"Local Authority","Falkirk Council Mobile Emergency Care Service","Larbert","Adults","03/02/2023",4,4,NA,5,4,"17/01/2023","2007_3",0,0
NA,"Private","Transitions Care Ltd","Inverurie","Adults","10/12/2019",5,5,NA,5,4,"17/09/2019","2007_3",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Perth & Kinross","Perth","Adults","21/05/2019",5,5,NA,5,5,"12/04/2019","2007_10",0,0
NA,"Voluntary or Not for Profit","Todlaw - Housing Support Service","Duns","Adults","30/11/2023",5,5,NA,5,4,"08/11/2023","2007_9",0,0
NA,"Voluntary or Not for Profit","Visualise Housing Support and Care at Home","Edinburgh","Adults","14/07/2020",5,5,NA,5,5,"07/02/2020","2008_9",0,0
NA,"Voluntary or Not for Profit","The Salvation Army - Greenock Floating Support Service","Greenock","Adults","08/11/2023",5,5,NA,5,5,"22/09/2023","2008_2",0,0
NA,"Voluntary or Not for Profit","Wallace of Campsie House","Glasgow","Adults","17/11/2023",4,5,NA,5,4,"24/10/2023","2007_12",0,0
NA,"Voluntary or Not for Profit","William Hunter House","Glasgow","Adults","07/08/2019",5,5,NA,5,5,"07/06/2019","2007_12",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Moving On","Glasgow","Adults","03/04/2018",5,5,NA,5,5,"31/01/2018","2007_10",0,0
NA,"Voluntary or Not for Profit","Clydeside Independent Living","Greenock","Adults","21/10/2019",6,6,NA,5,5,"27/10/2023","2008_2",0,0
NA,"Voluntary or Not for Profit","East Lothian Autism Support Services","Edinburgh","Adults","25/02/2020",4,5,NA,5,4,"11/02/2020","2008_12",0,0
NA,"Voluntary or Not for Profit","Penumbra Glasgow City Supported Living","Glasgow","Adults","28/02/2020",5,5,NA,5,4,"16/12/2019","2007_10",0,0
NA,"Local Authority","Clackmannanshire Council - Housing Support Team","Alloa","Adults","11/12/2017",4,4,NA,4,4,"07/11/2017","2007_9",0,0
NA,"Voluntary or Not for Profit","Strathmore Lodge","Dundee","Adults","31/05/2018",5,5,NA,5,5,"26/04/2018","2007_12",0,0
NA,"Voluntary or Not for Profit","Burnside Mill","Dundee","Adults","20/06/2018",5,5,NA,5,5,"24/04/2018","2007_12",0,0
NA,"Private","River Clyde Homes Sheltered Housing Service","Greenock","Adults","01/12/2017",6,6,NA,5,6,"03/07/2017","2007_11",0,0
NA,"Local Authority","East Lothian Council - Throughcare & Aftercare Team","Tranent","Adults","27/06/2019",5,5,NA,5,4,"25/03/2019","2007_12",0,0
NA,"Voluntary or Not for Profit","Scottish Veterans Residences - Rosendael","Dundee","Adults","21/08/2018",5,5,NA,5,5,"17/07/2018","2008_10",0,0
NA,"Voluntary or Not for Profit","Wheatley Care The Fordneuk Accommodation and Support Service","Glasgow","Adults","16/03/2023",5,5,NA,5,5,"10/03/2023","2008_4",0,0
NA,"Voluntary or Not for Profit","The National Autistic Society - Central Scotland Services","Glasgow","Adults","15/11/2023",5,5,NA,4,4,"10/10/2023","2008_6",1,1
NA,"Voluntary or Not for Profit","Rowan Alba Ltd - Stramullion","Edinburgh","Adults","02/04/2019",5,5,NA,4,5,"11/02/2019","2007_10",0,0
NA,"Voluntary or Not for Profit","Rowan Alba Ltd - Thorntree Street","Edinburgh","Adults","27/04/2023",5,4,NA,5,5,"18/04/2023","2007_10",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Stirling/Clackmannan","Falkirk","Adults","06/03/2023",4,5,NA,5,4,"03/02/2023","2008_8",0,0
NA,"Private","GMD Community Services","Coatbridge","Adults","14/08/2023",5,5,NA,5,4,"31/07/2023","2011_8",0,0
NA,"Voluntary or Not for Profit","Lochaber Women's Aid","Fort William","Adults","06/03/2019",5,5,NA,5,3,"22/02/2019","2008_10",0,0
NA,"Voluntary or Not for Profit","The Courtyard at Turning Point Scotland","Ayr","Adults","06/02/2023",5,5,NA,5,5,"20/01/2023","2007_11",0,0
NA,"Voluntary or Not for Profit","Midlothian Housing Support & Care at Home","Penicuik","Adults","22/06/2023",5,5,NA,5,5,"31/05/2023","2008_1",0,0
NA,"Private","Christina's Home Care Service","Glasgow","Adults","12/10/2023",5,5,NA,5,5,"22/09/2023","2008_7",0,0
NA,"Private","Caalcare Limited","Dundee","Adults","13/05/2019",6,6,NA,6,6,"23/04/2019","2009_5",0,0
NA,"Voluntary or Not for Profit","Ravenswood Housing Support","Glasgow","Adults","28/04/2023",5,5,NA,4,4,"11/04/2023","2008_3",0,0
NA,"Voluntary or Not for Profit","Skinnergate Resettlement Unit","Perth","Adults","24/07/2017",5,5,NA,5,5,"07/06/2017","2008_3",0,0
NA,"Local Authority","Housing Support","Stonehaven","Adults","03/03/2020",4,4,NA,5,5,"07/02/2020","2008_11",0,0
NA,"Voluntary or Not for Profit","Motherwell and District Womens Aid","Motherwell","Adults","04/05/2018",6,6,NA,6,6,"14/03/2018","2008_3",0,0
NA,"Voluntary or Not for Profit","QC Wellbeing Housing First for Young People","Glasgow","Adults","22/01/2020",6,6,NA,6,6,"09/12/2019","2008_4",0,0
NA,"Voluntary or Not for Profit","Glasgow Women's Aid Housing Support Unit","Glasgow","Adults","10/05/2019",5,5,NA,5,5,"27/02/2019","2008_6",1,1
NA,"Voluntary or Not for Profit","Leonard Cheshire Disability - Jewel Park - Supported Living","Edinburgh","Adults","05/04/2023",4,4,NA,3,4,"27/01/2023","2008_10",0,0
NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self-Directed Support Services (Glasgow)","Glasgow","Adults","03/03/2020",5,5,NA,5,5,"21/01/2020","2008_5",0,0
NA,"Voluntary or Not for Profit","Hillcrest Futures - Perthshire Services","Crieff","Adults","21/06/2019",5,5,NA,5,5,"30/04/2019","2008_9",1,1
NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self Directed Support Services (Falkirk and Grangemouth)","Grangemouth","Adults","10/05/2023",5,5,NA,5,5,"10/03/2023","2008_8",0,0
NA,"Voluntary or Not for Profit","The Pleasance/East Adam Street","Edinburgh","Adults","01/11/2018",5,5,NA,5,4,"16/08/2018","2008_6",0,0
NA,"Voluntary or Not for Profit","Hillcrest Futures Edinburgh and Glasgow","Edinburgh","Adults","02/08/2019",5,5,NA,5,5,"20/05/2019","2009_6",0,0
NA,"Voluntary or Not for Profit","Quarriers East Ayrshire Supported Living Service","Kilmarnock","Adults","06/03/2023",5,4,NA,5,5,"02/03/2023","2008_6",0,0
NA,"Private","Gibson Training and Care Limited","Leven","Adults","02/05/2023",5,5,NA,4,5,"14/04/2023","2008_6",0,0
NA,"Voluntary or Not for Profit","South Ayrshire Women's Aid","Ayr","Adults","14/12/2017",5,5,NA,5,4,"13/11/2017","2009_11",0,0
NA,"Voluntary or Not for Profit","Open Door Accommodation Project","Livingston","Adults","17/09/2020",5,5,NA,5,5,"11/02/2020","2012_2",0,0
NA,"Voluntary or Not for Profit","L'Arche Edinburgh","Edinburgh","Adults","15/11/2019",5,5,NA,5,5,"24/09/2019","2008_9",0,0
NA,"Voluntary or Not for Profit","Eskmills Project","Edinburgh","Adults","16/03/2023",5,4,NA,6,5,"10/03/2023","2009_4",0,0
NA,"Voluntary or Not for Profit","East Central Scotland Services","Glasgow","Adults","15/01/2020",5,5,NA,4,5,"23/12/2019","2009_8",0,0
NA,"Voluntary or Not for Profit","East Ayrshire Women's Aid","Kilmarnock","Adults","07/12/2017",5,5,NA,6,5,"13/11/2017","2012_2",0,0
NA,"Voluntary or Not for Profit","Threshold Glasgow","Glasgow","Adults","08/11/2019",4,4,NA,5,5,"24/09/2019","2009_3",0,0
NA,"Private","Westlands","Dundee","Adults","08/03/2023",5,6,NA,5,5,"22/11/2022","2009_2",0,0
NA,"Private","Living Ambitions Limited - South Lanarkshire and West of Scotland","Glasgow","Adults","23/10/2022",4,4,NA,4,4,"10/10/2022","2009_2",1,1
NA,"Voluntary or Not for Profit","Threshold Edinburgh","Edinburgh","Adults","20/09/2022",4,4,NA,5,5,"07/11/2023","2009_1",0,0
NA,"Voluntary or Not for Profit","Leonard Cheshire Disability - Stenhouse - Supported Living","Edinburgh","Adults","11/07/2023",3,4,NA,4,4,"16/06/2023","2010_2",0,0
NA,"Voluntary or Not for Profit","Threshold Support Services - Housing Support","Larkhall","Adults","30/07/2019",5,5,NA,5,5,"18/07/2019","2009_7",0,0
NA,"Local Authority","Aberdeenshire Supported Living Project","Banff","Adults","04/02/2020",5,5,NA,6,4,"12/12/2019","2009_3",0,0
NA,"Private","NPHomecare","Glasgow","Adults","27/04/2023",4,4,NA,4,4,"21/04/2023","2009_4",0,0
NA,"Voluntary or Not for Profit","Brothers of Charity Services (Scotland) - Supported Living Community of Care","Galashiels","Adults","10/08/2023",2,2,NA,2,2,"10/07/2023","2009_3",1,1
NA,"Voluntary or Not for Profit","Brothers of Charity Services (Scotland) - Campus of Care","Galashiels","Adults","10/08/2023",2,2,NA,2,2,"10/07/2023","2009_2",0,0
NA,"Private","Orems Care Service Housing Support","Glasgow","Adults","21/06/2023",5,4,NA,4,4,"05/05/2023","2009_11",0,0
NA,"Local Authority","North Ayrshire Council - Irvine, Garnock Valley and Community Alarm","Irvine","Adults","24/11/2023",5,4,NA,4,5,"03/11/2023","2009_9",1,1
NA,"Local Authority","North Ayrshire Council - Three Towns, North Coast and Arran","Irvine","Adults","14/06/2022",5,5,NA,5,5,"01/06/2022","2009_9",0,0
NA,"Voluntary or Not for Profit","Thera (Scotland)","Edinburgh","Adults","01/10/2019",5,5,NA,5,5,"12/09/2019","2009_12",0,0
NA,"Private","Roberts Care & Training Ltd","Paisley","Adults","23/01/2020",5,5,NA,5,5,"20/01/2020","2009_6",0,0
NA,"Voluntary or Not for Profit","Johnstone & Paisley Supported Living Services","Johnstone","Adults","18/10/2023",5,4,NA,4,5,"11/09/2023","2009_7",0,0
NA,"Private","HRM Homecare Services Ltd - Central / West","Kilmarnock","Adults","03/03/2023",5,5,NA,4,4,"22/02/2023","2010_3",1,1
NA,"Private","Venture Support and Care","Banff","Adults","21/09/2023",3,4,NA,4,3,"25/08/2023","2009_5",0,0
NA,"Voluntary or Not for Profit","Crossroads Caring Scotland - Glasgow/Blantyre/East Dunbarton","Glasgow","Adults","30/01/2020",4,4,NA,4,4,"13/12/2019","2009_4",0,0
NA,"Voluntary or Not for Profit","Jericho Benedictines Housing Support Unit (Bank Street)","Greenock","Adults","21/01/2020",5,5,NA,5,4,"11/10/2019","2009_4",0,0
NA,"Private","Inchmarlo Continuing Care Retirement Community - Housing Support Service","Banchory","Adults","01/05/2023",5,5,NA,6,4,"23/03/2023","2010_3",0,0
NA,"Voluntary or Not for Profit","Cheshire House","Inverness","Adults","28/10/2019",5,5,NA,5,5,"17/09/2019","2010_4",0,0
NA,"Local Authority","North West Home Care Service Cluster 2","Edinburgh","Adults","19/11/2019",4,4,NA,5,4,"27/09/2019","2010_1",0,0
NA,"Voluntary or Not for Profit","Milltown Community","Laurencekirk","Adults","16/05/2023",3,3,NA,3,3,"20/11/2023","2009_9",1,1
NA,"Voluntary or Not for Profit","Women's Aid East and Midlothian","Dalkeith","Adults","15/04/2019",5,5,NA,5,5,"21/02/2019","2010_9",0,0
NA,"Voluntary or Not for Profit","Cornerstone Fife","Dunfermline","Adults","17/02/2023",4,5,NA,4,5,"13/01/2023","2010_1",0,0
NA,"Local Authority","South East Hub Services","Edinburgh","Adults","10/04/2020",4,4,NA,4,4,"04/03/2019","2009_10",0,0
NA,"Local Authority","Sheltered Housing Warden Service","Glasgow","Adults","25/08/2017",5,5,NA,5,5,"25/07/2017","2010_1",0,0
NA,"Private","HRM Homecare Services Ltd - South West Branch (1)","Coatbridge","Adults","17/06/2020",4,4,NA,4,4,"10/02/2020","2010_7",3,3
NA,"Private","Hebrides Alpha Project","Isle Of Lewis","Adults","06/08/2019",5,5,NA,5,5,"24/06/2019","2009_9",0,0
NA,"Voluntary or Not for Profit","Autism Initiatives UK","Perth","Adults","04/10/2022",4,5,NA,5,4,"09/09/2022","2010_4",0,0
NA,"Voluntary or Not for Profit","Eva Burrows 1st Stop Accommodation Project","Glasgow","Adults","21/07/2017",6,6,NA,6,5,"24/05/2017","2010_1",0,0
NA,"Voluntary or Not for Profit","We Are With You Glasgow Recovery Hubs","Glasgow","Adults","18/05/2023",6,4,NA,5,5,"02/05/2023","2010_8",0,0
NA,"Private","CERA - Argyll & Bute","Dunoon","Adults","14/11/2023",3,4,NA,4,3,"29/09/2023","2010_2",0,0
