"Subtype","Provider","Name","Town","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Learning Disabilities","Private","Southfields","Falkirk","Falkirk","08/04/2024",4,4,4,4,5,"01/03/2024","2004_5",0,0
"Older People","Private","Ardenlee","Dunoon","Argyll & Bute","19/02/2024",3,3,3,3,3,"18/01/2024","2004_7",0,0
"Learning Disabilities","Local Authority","Short Breaks, 32/34 Pickaquoy Loan","Kirkwall","Orkney Islands","24/05/2024",4,4,4,4,4,"25/04/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Elderslie Project","Johnstone","Renfrewshire","09/05/2024",5,5,4,5,5,"08/04/2024","2004_3",0,0
"Older People","Private","Pittendreich Care Home","Lasswade","Midlothian","10/10/2023",3,3,3,3,3,"28/09/2023","2004_6",0,0
"Older People","Local Authority","Belhaven Nursing Home","Dunbar","East Lothian","19/04/2024",4,4,5,5,4,"28/02/2024","2004_3",0,0
"Older People","Private","St Andrews House Care Home","St. Andrews","Fife","06/06/2024",4,4,4,3,4,"30/05/2024","2004_4",2,0
"Older People","Private","Dalmellington Care Centre","Ayr","East Ayrshire","01/06/2022",5,5,5,5,5,"05/05/2022","2004_7",0,0
"Older People","Private","Ashdene Court","Crieff","Perth & Kinross","06/02/2024",4,4,4,4,4,"18/01/2024","2004_7",0,0
"Older People","Private","Westfield","Lockerbie","Dumfries & Galloway","21/02/2024",4,4,5,4,3,"31/01/2024","2004_8",1,0
"Physical and Sensory Impairment","Private","The Beeches","Kilmarnock","East Ayrshire","18/04/2023",4,3,3,3,4,"14/04/2023","2005_6",0,0
"Older People","Private","West Park Care Home","Glenrothes","Fife","16/11/2023",5,4,4,4,5,"11/10/2023","2004_9",0,0
"Older People","Private","Blair House Care Home","Coatbridge","North Lanarkshire","22/04/2024",5,4,4,4,5,"28/03/2024","2004_10",0,0
"Older People","Private","Lydiafield Care Home","Annan","Dumfries & Galloway","15/04/2024",4,4,4,4,4,"06/03/2024","2004_8",0,0
"Older People","Private","Burnfoot Coach House","Lockerbie","Dumfries & Galloway","20/06/2024",4,5,4,5,4,"24/05/2024","2004_8",1,0
"Learning Disabilities","Voluntary or Not for Profit","The Hollies","Edinburgh","City of Edinburgh","12/10/2023",6,5,5,5,5,"11/09/2023","2005_1",0,0
"Mental Health Problems","Private","Catalina Care Home","Alness","Highland","14/06/2024",4,4,4,4,4,"13/05/2024","2004_11",2,0
"Learning Disabilities","Private","South Peak","Alexandria","Argyll & Bute","07/07/2022",5,5,4,4,4,"26/05/2022","2004_10",0,0
"Older People","Private","Grange Care Home Ltd","Kilmarnock","East Ayrshire","22/09/2022",5,5,5,5,5,"14/09/2022","2004_10",0,0
"Older People","Private","Carolton Care","Nairn","Highland","24/10/2022",5,4,4,4,4,"21/09/2022","2005_3",0,0
"Older People","Private","Whim Hall Care Home","West Linton","Scottish Borders","10/01/2023",4,4,3,3,4,"19/12/2022","2005_4",0,0
"Older People","Private","Leys Park Care Home","Dunfermline","Fife","11/06/2024",3,3,3,3,3,"15/05/2024","2005_2",1,2
"Older People","Private","Cartvale Care Home","Glasgow","Glasgow City","22/09/2023",4,3,4,4,3,"16/08/2023","2005_1",0,0
"Older People","Private","Elaina Nursing Home","Wishaw","North Lanarkshire","28/02/2024",4,4,4,3,3,"21/02/2024","2005_5",0,0
"Older People","Private","Alastrean House","Aboyne","Aberdeenshire","06/06/2023",4,4,4,4,4,"29/05/2023","2005_3",1,0
"Older People","Private","Rosehall Manor","Shotts","North Lanarkshire","03/01/2024",4,4,5,4,4,"13/12/2023","2005_7",0,0
"Older People","Local Authority","Smiddybrae House","Orkney","Orkney Islands","28/09/2022",4,5,4,5,4,"02/09/2022","2005_11",0,0
"Learning Disabilities","Voluntary or Not for Profit","Parkholme","Lossiemouth","Moray","19/12/2023",3,3,3,3,3,"17/05/2024","2005_5",3,0
"Learning Disabilities","Private","Mayfield Lodge","Inverness","Highland","20/10/2022",4,5,5,5,5,"03/10/2022","2005_8",0,0
"Older People","Local Authority","Fernlea, The Wishart Anderson (Care Home)","Shetland","Shetland Islands","11/01/2023",4,5,5,4,4,"25/11/2022","2005_8",0,0
"Older People","Local Authority","Overtonlea (Care Home)","Shetland","Shetland Islands","21/10/2022",4,5,4,4,4,"05/10/2022","2005_8",0,0
"Older People","Local Authority","North Haven (Care Home)","Shetland","Shetland Islands","24/11/2022",4,4,4,3,3,"05/10/2022","2005_8",0,0
"Older People","Local Authority","Isleshavn (Care Home)","Shetland","Shetland Islands","12/12/2022",3,5,4,4,3,"14/10/2022","2005_8",0,0
"Older People","Local Authority","Wastview (Care Home)","Shetland","Shetland Islands","27/09/2022",4,5,4,4,4,"05/08/2022","2005_8",0,0
"Older People","Local Authority","Nordalea (Care Home)","Shetland","Shetland Islands","06/12/2022",4,5,5,4,4,"17/10/2022","2005_8",0,0
"Older People","Private","Lochleven Care Home","Dundee","Dundee City","16/05/2024",4,3,5,3,3,"09/05/2024","2006_5",7,0
"Learning Disabilities","Voluntary or Not for Profit","Sense Scotland Dundee Respite","Dundee","Dundee City","15/01/2024",5,6,6,6,4,"22/11/2023","2006_1",0,0
"Older People","Private","Arberglen Care Home","Hamilton","South Lanarkshire","02/04/2024",3,3,2,3,3,"20/06/2024","2005_10",0,0
"Older People","Private","Barlochan House Care Home","Castle Douglas","Dumfries & Galloway","09/05/2024",5,5,4,4,5,"10/04/2024","2005_10",1,0
"Older People","Local Authority","Ross Court","Galston","East Ayrshire","01/12/2022",4,4,5,4,4,"09/11/2022","2006_1",0,0
"Older People","Private","Thornfield House","Selkirk","Scottish Borders","30/05/2024",5,4,4,4,5,"14/05/2024","2005_11",0,0
"Older People","Private","Rashielee Care Home","Erskine","Renfrewshire","11/01/2023",5,4,4,4,5,"25/11/2022","2005_12",0,0
"Older People","Private","St. Davids Care Home","Forfar","Angus","04/06/2024",5,4,4,4,3,"17/01/2024","2006_4",0,0
"Older People","Private","Beechgrove Care Home","Lanark","South Lanarkshire","13/06/2022",5,4,5,4,5,"20/05/2022","2006_2",0,0
"Older People","Private","Foxley House Care Home","Glasgow","Glasgow City","19/05/2022",5,4,4,4,5,"25/04/2022","2005_12",0,0
"Older People","Private","Alma McFadyen","Dalbeattie","Dumfries & Galloway","22/08/2022",4,5,4,5,4,"12/08/2022","2006_2",0,0
"Learning Disabilities","Local Authority","Weavers Linn Respite Unit","Paisley","Renfrewshire","09/05/2023",4,5,5,6,4,"30/03/2023","2007_2",0,0
"Older People","Private","The Argyle Care Centre","Helensburgh","Argyll & Bute","31/01/2024",4,3,3,3,3,"05/01/2024","2006_1",2,0
"Learning Disabilities","Local Authority","23 Murray Street - Elgin","Elgin","Moray","02/07/2020",4,5,4,4,4,"05/03/2020","2009_6",0,0
"Older People","Private","Pine Villa Nursing Home","Loanhead","Midlothian","21/06/2023",5,4,3,4,5,"20/06/2023","2006_2",0,0
"Older People","Private","Kippen House Care Home","Perth","Perth & Kinross","21/03/2024",5,5,4,5,5,"19/03/2024","2006_8",0,0
"Older People","Private","Rosaburn House","Glasgow","South Lanarkshire","23/04/2024",3,4,3,5,3,"15/03/2024","2006_4",1,0
"Learning Disabilities","Voluntary or Not for Profit","Twechar Residential Respite Service","Glasgow","East Dunbartonshire","31/07/2023",5,5,6,6,5,"19/05/2023","2006_4",0,0
"Older People","Local Authority","Montrose Care Home","Paisley","Renfrewshire","14/10/2022",4,4,6,5,4,"19/08/2022","2007_3",0,0
"Older People","Private","Miltongrange Nursing Home","Carluke","South Lanarkshire","02/09/2022",4,4,4,4,4,"17/06/2024","2006_4",1,0
"Older People","Private","Notwen House","Lockerbie","Dumfries & Galloway","01/07/2022",4,4,4,4,4,"21/06/2022","2006_10",0,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","Kirkhaven","Glasgow","Glasgow City","28/11/2019",5,5,5,5,5,"08/04/2022","2007_8",0,0
"Older People","Local Authority","Hunterhill Care Home","Paisley","Renfrewshire","10/10/2023",4,4,4,4,4,"14/09/2023","2008_1",0,0
"Older People","Private","Fairknowe","Maybole","South Ayrshire","06/03/2024",3,3,4,3,3,"05/03/2024","2006_7",3,1
"Older People","Voluntary or Not for Profit","Crannog Care Home","Glasgow","Glasgow City","08/01/2024",5,5,4,5,5,"30/11/2023","2006_12",0,0
"Older People","Private","Airthrey Care","Falkirk","Falkirk","23/05/2023",5,5,5,5,5,"02/05/2023","2006_9",0,0
"Older People","Private","Louisebrae","Perth","Perth & Kinross","27/11/2023",4,5,4,5,4,"21/11/2023","2007_8",0,0
"Mental Health Problems","Voluntary or Not for Profit","Penumbra Supported Accommodation (ARBD) Care Home","Glasgow","Glasgow City","20/03/2024",5,5,4,5,5,"04/03/2024","2006_11",0,0
"Learning Disabilities","Local Authority","Newcraigielea","Shetland","Shetland Islands","06/09/2023",5,5,4,5,5,"03/08/2023","2007_1",0,0
"Older People","Private","St. Andrew's Care Home","Hawick","Scottish Borders","19/03/2024",3,4,3,3,4,"03/06/2024","2007_1",1,0
"Older People","Private","Woodhurst Care Centre","Carluke","South Lanarkshire","15/05/2024",4,4,3,4,3,"09/05/2024","2006_12",1,0
"Older People","Private","Overdon Care Home","Inverurie","Aberdeenshire","07/03/2023",4,5,5,5,4,"23/02/2023","2006_10",0,0
"Older People","Private","Morningside Care Home","Wishaw","North Lanarkshire","13/02/2024",3,3,3,3,3,"18/01/2024","2007_7",3,0
"Older People","Private","Windyhall Nursing Home","Ayr","South Ayrshire","20/06/2024",4,4,4,3,4,"07/06/2024","2007_1",1,0
"Older People","Private","Guthrie House","Edinburgh","City of Edinburgh","04/06/2024",4,4,3,4,4,"09/05/2024","2007_1",1,0
"Mental Health Problems","Voluntary or Not for Profit","Hoddam ARBD Service","Glasgow","Glasgow City","14/07/2022",4,5,4,5,5,"29/06/2022","2007_5",0,0
"Older People","Voluntary or Not for Profit","Marian House","Edinburgh","City of Edinburgh","13/12/2023",5,5,5,5,5,"30/11/2023","2007_1",0,0
"Learning Disabilities","Voluntary or Not for Profit","Riddrievale Service","Glasgow","Glasgow City","11/01/2023",3,5,3,5,3,"07/12/2022","2007_2",0,0
"Older People","Private","Collisdene Care Centre","Strathaven","South Lanarkshire","22/04/2024",4,3,3,3,3,"27/06/2024","2006_11",0,0
"Older People","Private","Blenham House Care Home","Edinburgh","City of Edinburgh","03/06/2024",5,5,5,4,5,"28/05/2024","2006_11",0,0
"Older People","Private","The Glade","Brechin","Angus","06/09/2022",5,5,5,5,5,"01/08/2022","2007_3",0,0
"Older People","Private","Springboig Care Home","Glasgow","Glasgow City","20/02/2024",4,4,4,4,4,"25/01/2024","2007_8",3,0
"Older People","Private","Canmore Lodge Nursing Home","Dunfermline","Fife","11/01/2021",4,4,4,4,4,"26/06/2024","2007_1",0,0
"Older People","Private","Lochduhar","Dumfries","Dumfries & Galloway","09/03/2023",4,4,4,5,5,"31/01/2023","2007_1",0,0
"Older People","Private","Balclutha Court Care Home","Greenock","Inverclyde","24/08/2023",4,4,4,4,4,"26/07/2023","2007_1",0,0
"Older People","Private","Fairview House Care Home","Aberdeen","Aberdeen City","15/05/2024",2,3,3,2,2,"10/04/2024","2007_1",7,1
"Older People","Private","Four Hills Care Home","Glasgow","Glasgow City","27/11/2023",4,4,4,5,5,"08/11/2023","2007_1",3,0
"Older People","Private","Highview Care Home","Inverness","Highland","18/05/2022",4,5,5,5,5,"09/05/2022","2007_1",1,0
"Older People","Private","Kirkburn Court Care Home","Peterhead","Aberdeenshire","06/02/2024",5,5,5,5,5,"16/01/2024","2007_1",0,0
"Older People","Private","Lethen Park Nursing Home","Aberdeen","Aberdeenshire","24/04/2024",5,4,4,5,5,"03/10/2023","2007_1",2,0
"Older People","Private","Fordmill Care Home","Montrose","Angus","08/08/2022",4,5,5,5,5,"06/07/2022","2007_1",0,0
"Older People","Private","Ochil Care Home","Perth","Perth & Kinross","17/07/2023",4,4,4,4,4,"12/07/2023","2007_1",3,0
"Older People","Private","South Grange Care Home","Dundee","Angus","26/07/2023",5,5,5,4,5,"19/06/2023","2007_1",2,0
"Older People","Private","Pentland View - Highland","Thurso","Highland","17/06/2022",5,5,4,5,4,"24/05/2022","2007_1",1,0
"Older People","Private","Seaview House Nursing Home","Wick","Highland","07/09/2022",5,5,4,5,5,"29/01/2024","2007_1",0,0
"Older People","Private","Woodside Care Home","Coatbridge","North Lanarkshire","22/04/2024",3,4,2,4,2,"17/04/2024","2007_9",4,0
"Older People","Private","Archview Lodge Care Home","Dalkeith","Midlothian","13/05/2024",4,4,4,4,4,"12/04/2024","2007_2",1,0
"Older People","Private","Strachan House Care Home","Edinburgh","City of Edinburgh","18/03/2024",5,4,4,4,4,"21/02/2024","2007_2",2,0
"Learning Disabilities","Local Authority","Deans House","Livingston","West Lothian","05/12/2022",5,5,5,5,4,"13/10/2022","2008_8",0,0
"Older People","Local Authority","Marionville Court","Edinburgh","City of Edinburgh","11/07/2023",4,4,4,4,4,"13/06/2023","2007_8",0,0
"Learning Disabilities","Local Authority","Dunmuir Park Respite Unit","Castle Douglas","Dumfries & Galloway","03/02/2023",4,4,4,3,3,"30/01/2023","2008_8",0,0
"Older People","Private","Fodderty House","Dingwall","Highland","18/10/2022",4,4,4,4,4,"25/08/2022","2008_7",0,0
"Older People","Private","Thistleknowe Care Home","Beith","North Ayrshire","18/06/2024",4,4,3,4,5,"28/05/2024","2007_11",1,0
"Older People","Private","Auchtermairnie Care Home","Leven","Fife","06/06/2024",5,6,6,4,5,"16/05/2024","2007_7",0,0
"Older People","Private","Millbrae Care Home","Coatbridge","North Lanarkshire","10/06/2024",3,4,4,4,3,"02/05/2024","2008_3",3,0
"Older People","Private","Rivendell Care Service","Dunkeld","Perth & Kinross","21/02/2022",3,3,3,3,3,"30/03/2024","2007_12",0,0
"Learning Disabilities","Voluntary or Not for Profit","34 and 36 Hazel Avenue","Kirkcaldy","Fife","18/04/2023",5,5,6,6,5,"13/03/2023","2007_11",0,0
"Older People","Private","Benore Care Home","Lochgelly","Fife","10/10/2022",5,4,4,5,5,"28/06/2024","2008_3",1,0
"Older People","Private","Viewpark","Edinburgh","City of Edinburgh","20/09/2022",5,4,5,5,5,"05/09/2022","2007_10",0,0
"Older People","Private","Spring Gardens","Edinburgh","City of Edinburgh","11/08/2023",5,4,4,4,6,"01/06/2023","2007_10",0,0
"Older People","Private","Marchmont Care Home Limited","Port Glasgow","Inverclyde","25/05/2022",4,4,4,4,4,"06/05/2022","2007_12",0,0
"Older People","Private","Argyll House Nursing Home","Kilmarnock","East Ayrshire","05/06/2024",4,4,4,4,4,"29/05/2024","2008_5",4,0
"Older People","Private","Rosepark Care Home","Glasgow","North Lanarkshire","29/01/2024",4,4,4,4,4,"22/12/2023","2008_2",3,0
"Older People","Local Authority","Newbyres Village","Gorebridge","Midlothian","18/03/2024",3,3,4,3,3,"27/02/2024","2008_5",1,0
"Older People","Private","Bruach House","Nairn","Highland","24/10/2022",5,4,4,4,4,"12/09/2022","2008_3",0,0
"Older People","Private","Belleville Lodge Nursing Home","Edinburgh","City of Edinburgh","16/11/2023",4,5,4,4,4,"18/10/2023","2008_3",1,0
"Older People","Private","Briery Park","Thornhill","Dumfries & Galloway","03/04/2024",3,3,2,3,3,"11/06/2024","2009_1",0,0
"Older People","Private","Praesmohr","Aboyne","Aberdeenshire","28/11/2023",3,3,3,3,3,"23/11/2023","2009_2",0,1
"Older People","Private","Peacehaven","Leven","Fife","01/09/2022",5,5,5,5,5,"29/07/2022","2008_5",0,0
"Older People","Private","Summerlee House Ltd.","Coatbridge","North Lanarkshire","16/05/2024",5,4,4,4,5,"07/03/2024","2008_5",1,0
"Older People","Private","Croftbank House","Glasgow","South Lanarkshire","02/04/2024",5,4,4,4,5,"01/03/2024","2008_4",1,0
"Older People","Private","Hector House (Glasgow) Ltd","Glasgow","Glasgow City","25/06/2024",4,4,3,4,4,"17/06/2024","2008_5",0,0
"Older People","Private","Muirfield Nursing Home","Gullane","East Lothian","19/09/2023",4,4,5,5,5,"06/09/2023","2008_9",1,0
"Older People","Voluntary or Not for Profit","Braeburn Home","Edinburgh","City of Edinburgh","25/01/2024",4,3,4,3,4,"10/01/2024","2008_6",0,0
"Respite Care and Short Breaks","Local Authority","Anam Cara","Kilbirnie","North Ayrshire","09/03/2023",5,4,5,4,5,"16/02/2023","2009_4",1,0
"Older People","Private","Fidra House","North Berwick","East Lothian","29/04/2024",4,5,4,4,5,"01/03/2024","2008_9",0,0
"Learning Disabilities","Private","Redcroft Care Services","Edinburgh","City of Edinburgh","17/01/2024",3,3,2,3,3,"24/11/2023","2009_3",0,0
"Older People","Private","Links View","Burntisland","Fife","21/08/2023",3,4,4,4,4,"03/08/2023","2008_9",1,0
"Older People","Private","Stanely Park Care Home","Paisley","Renfrewshire","04/01/2024",5,5,4,5,5,"04/12/2023","2009_5",1,0
"Learning Disabilities","Private","Clare House","Dunblane","Stirling","04/04/2024",4,4,4,4,4,"06/03/2024","2009_6",0,0
"Older People","Local Authority","Montfield Support Services","Shetland","Shetland Islands","10/08/2023",4,4,4,4,4,"02/08/2023","2010_8",0,0
"Older People","Private","Glenlivet Gardens Care Home","Glasgow","Glasgow City","30/11/2023",4,4,4,4,4,"02/11/2023","2009_4",0,0
"Older People","Private","Dunvegan Lodge Care Home","Glasgow","South Lanarkshire","02/02/2024",4,4,4,5,5,"30/01/2024","2009_1",1,0
"Older People","Private","Hutton Park Care Home","Largs","North Ayrshire","17/04/2024",4,4,4,4,4,"12/04/2024","2010_1",0,0
"Learning Disabilities","Private","Stoneywood House & Villa","Denny","Falkirk","14/12/2023",5,6,5,5,5,"08/11/2023","2010_8",0,0
"Older People","Private","Queensberry Care Home","Sanquhar","Dumfries & Galloway","01/02/2024",3,3,3,4,3,"10/01/2024","2009_4",0,1
"Learning Disabilities","Voluntary or Not for Profit","Brothers of Charity Services (Scotland) - Care Home Service","Melrose","Scottish Borders","21/03/2023",4,4,3,3,3,"25/06/2024","2009_1",0,0
"Learning Disabilities","Voluntary or Not for Profit","Tigh-na-Cloich","Muir Of Ord","Highland","08/12/2023",5,5,5,5,4,"21/11/2023","2009_1",0,0
"Older People","Private","Wyvis House Care Home","Dingwall","Highland","05/02/2024",3,4,4,4,3,"26/01/2024","2009_3",2,0
"Older People","Private","Hebron House Nursing Home Ltd","Nairn","Highland","30/05/2023",4,4,4,4,4,"02/05/2023","2009_1",0,0
"Older People","Private","Burnlea","Largs","North Ayrshire","08/01/2024",5,5,5,5,5,"24/11/2023","2010_1",0,0
"Older People","Private","Jordanhill Care Home","Glasgow","Glasgow City","03/05/2023",5,4,4,4,5,"28/03/2023","2009_3",0,0
"Mental Health Problems","Voluntary or Not for Profit","Engage - Glenlora","Glasgow","Glasgow City","05/04/2024",3,4,4,4,4,"15/03/2024","2009_12",0,0
"Older People","Voluntary or Not for Profit","Bankhouse","Lanark","South Lanarkshire","07/03/2024",4,4,4,4,4,"07/02/2024","2009_1",1,0
"Learning Disabilities","Voluntary or Not for Profit","Cherry Tree Court","Glasgow","South Lanarkshire","20/02/2024",5,5,4,4,5,"25/01/2024","2009_3",0,0
"Older People","Private","Galahill House","Galashiels","Scottish Borders","20/10/2023",5,4,5,4,4,"30/08/2023","2009_4",0,0
"Older People","Private","St. Johns","Melrose","Scottish Borders","20/10/2023",4,5,5,5,4,"24/08/2023","2009_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Inverurie Respite","Inverurie","Aberdeenshire","18/11/2019",5,5,4,4,5,"20/09/2019","2009_7",0,0
"Older People","Local Authority","Renfrew Care Home","Renfrew","Renfrewshire","14/10/2022",4,4,5,5,4,"05/09/2022","2009_7",0,0
"Older People","Private","Berelands House Care Home Service","Prestwick","South Ayrshire","01/08/2023",5,5,4,5,5,"28/07/2023","2010_2",0,0
"Older People","Private","Orchar Nursing Home","Dundee","Dundee City","02/08/2023",5,5,5,5,4,"26/07/2023","2009_9",1,0
"Older People","Local Authority","Inch View","Edinburgh","City of Edinburgh","14/03/2024",3,4,3,4,4,"10/06/2024","2011_2",2,0
"Mental Health Problems","Private","Millbank","Alloa","Clackmannanshire","22/08/2023",6,5,6,6,5,"20/07/2023","2010_6",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Forward Vision","Edinburgh","City of Edinburgh","22/08/2019",5,4,5,5,5,"28/06/2019","2010_7",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Cornerstone - Uphall Care Home","Broxburn","West Lothian","28/06/2022",5,5,4,5,5,"19/05/2022","2011_3",0,0
"Learning Disabilities","Voluntary or Not for Profit","Dunn Street, Duntocher - Respite Service","Clydebank","West Dunbartonshire","15/11/2022",5,4,4,5,5,"03/10/2022","2010_5",0,0
"Learning Disabilities","Private","Extended Personal Care Limited - Respite","Lennoxtown","East Dunbartonshire","18/03/2024",5,5,4,5,4,"08/02/2024","2010_12",0,0
"Older People","Private","Abbotsford Care, Methil","Leven","Fife","22/02/2024",3,4,3,3,4,"06/02/2024","2011_2",1,0
"Older People","Private","Abbotsford Care, Newburgh","Cupar","Fife","05/09/2023",3,3,3,4,4,"14/08/2023","2011_2",0,0
"Older People","Private","Abbotsford Care, Kinglassie","Lochgelly","Fife","22/09/2022",4,4,4,5,4,"29/08/2022","2011_2",0,0
"Older People","Private","Abbotsford Care, Cowdenbeath","Cowdenbeath","Fife","21/03/2024",5,5,4,5,5,"01/03/2024","2011_2",0,0
"Learning Disabilities","Private","Abbotsford Care, East Wemyss","Kirkcaldy","Fife","17/04/2024",5,5,6,5,5,"11/04/2024","2011_2",0,0
"Older People","Private","Abbotsford Care, Glenrothes","Glenrothes","Fife","08/01/2024",3,3,3,3,3,"21/12/2023","2011_2",4,0
"Older People","Private","Alt- Na- Craig House","Greenock","Inverclyde","22/03/2022",4,4,4,4,4,"03/03/2022","2010_4",0,0
"Older People","Private","Northlands Care Home","Blairgowrie","Perth & Kinross","08/11/2023",5,4,5,5,4,"01/11/2023","2010_6",1,0
"Mental Health Problems","Private","Hilton Court Care Home","Dunfermline","Fife","05/04/2024",5,5,5,5,5,"19/03/2024","2010_10",0,0
"Older People","Private","St Modans Care Home","Fraserburgh","Aberdeenshire","02/05/2024",5,4,5,5,4,"24/04/2024","2010_10",3,0
"Physical and Sensory Impairment","Private","The Manor Care Centre","Nairn","Highland","12/10/2023",3,3,4,3,3,"10/05/2024","2010_10",3,0
"Older People","Private","Daviot Care Home","Inverness","Highland","04/05/2023",4,4,5,4,4,"25/04/2023","2010_10",0,0
"Older People","Private","Caledonia Care Home","Saltcoats","North Ayrshire","17/07/2023",4,4,4,4,4,"09/06/2023","2010_9",1,0
"Older People","Private","The Grove","Elgin","Moray","07/04/2023",3,4,5,4,4,"29/03/2023","2010_7",1,0
"Older People","Private","St Serfs","Newport-On-Tay","Fife","28/09/2023",3,3,4,4,4,"07/09/2023","2010_5",0,0
"Older People","Voluntary or Not for Profit","Northcote Lodge Care Home","Aberdeen","Aberdeen City","26/03/2024",4,4,5,5,5,"14/03/2024","2010_6",0,0
"Older People","Private","Isle View Care Home","Achnasheen","Highland","26/11/2021",4,4,4,4,4,"13/06/2024","2010_10",0,0
"Older People","Private","Holmesview","Broxburn","West Lothian","17/01/2024",4,4,5,4,3,"20/12/2023","2011_1",0,0
"Older People","Voluntary or Not for Profit","Southside Older People's Services","Glasgow","Glasgow City","14/05/2024",5,4,4,5,4,"17/04/2024","2010_10",0,0
"Older People","Private","Cumbrae House","Glasgow","Glasgow City","23/11/2023",4,4,4,4,4,"27/10/2023","2010_12",1,0
"Older People","Private","Victoria Lodge","Coldstream","Scottish Borders","12/09/2023",4,3,3,3,4,"29/08/2023","2011_1",0,0
"Older People","Private","Bo'ness Care Home","Bo'ness","Falkirk","23/05/2023",5,4,4,5,5,"12/05/2023","2010_10",1,0
"Older People","Private","Lizdean Nursing Home","Kilmarnock","East Ayrshire","05/09/2023",4,4,3,4,4,"14/08/2023","2011_2",0,0
"Older People","Private","Peebles Nursing Home","Peebles","Scottish Borders","22/01/2024",3,3,4,3,3,"16/01/2024","2010_9",0,0
"Older People","Private","Antiquary House","Arbroath","Angus","21/05/2024",5,4,4,4,5,"14/05/2024","2010_10",1,0
"Older People","Private","Balhousie Dalnaglar","Crieff","Perth & Kinross","11/01/2024",3,3,3,3,3,"06/12/2023","2010_10",1,0
"Older People","Private","Glens Nursing Home","Brechin","Angus","12/02/2024",3,3,3,3,3,"08/02/2024","2010_10",6,1
"Older People","Private","Balhousie Luncarty Care Home","Perth","Perth & Kinross","01/05/2023",3,3,3,4,3,"05/04/2023","2010_10",1,0
"Older People","Private","Monkbarns","Arbroath","Angus","20/06/2024",4,4,4,4,4,"13/06/2024","2010_10",2,0
"Older People","Private","Moyness Nursing Home","Dundee","Dundee City","21/06/2023",4,4,4,4,5,"25/04/2023","2010_10",0,0
"Older People","Private","Balhousie Ruthven Towers","Auchterarder","Perth & Kinross","05/06/2024",3,3,3,4,3,"26/06/2024","2010_10",1,0
"Older People","Private","Stormont Lodge","Blairgowrie","Perth & Kinross","19/06/2024",3,3,3,3,3,"10/05/2024","2010_10",0,0
"Older People","Private","Wheatlands","Bonnybridge","Falkirk","12/10/2023",3,3,3,3,3,"09/10/2023","2010_10",4,0
"Older People","Private","Balhousie Clement Park","Dundee","Dundee City","23/04/2024",4,4,4,4,4,"10/04/2024","2010_11",3,0
"Older People","Private","Balhousie Coupar Angus","Blairgowrie","Perth & Kinross","05/07/2023",3,3,3,3,3,"25/04/2024","2011_4",5,0
"Mental Health Problems","Private","William Simpsons","Stirling","Stirling","27/03/2024",5,4,4,4,5,"07/02/2024","2012_5",1,0
"Older People","Private","Heathfield House Care Home","Ayr","South Ayrshire","06/02/2024",3,3,4,3,3,"17/01/2024","2011_9",5,0
"Blood Borne Virus","Voluntary or Not for Profit","Waverley Care Milestone","Edinburgh","City of Edinburgh","04/12/2023",4,4,5,6,4,"15/11/2023","2011_11",0,0
"Older People","Private","Mossvale Care Home","Glasgow","Glasgow City","03/01/2024",3,4,4,4,3,"13/12/2023","2013_11",2,0
"Older People","Private","Flemington Care Home","Glasgow","South Lanarkshire","17/06/2024",3,3,3,4,3,"31/05/2024","2011_3",2,0
"Respite Care and Short Breaks","Voluntary or Not for Profit","Leuchie House","North Berwick","East Lothian","01/03/2022",5,5,5,5,5,"24/02/2022","2011_7",0,0
"Learning Disabilities","Private","ASC Orchard Court and Dalguise","Perth","Perth & Kinross","13/06/2024",2,3,2,2,2,"16/05/2024","2011_10",0,0
"Older People","Private","Astley House","North Berwick","East Lothian","31/08/2023",4,4,4,5,5,"08/08/2023","2011_8",0,0
"Older People","Voluntary or Not for Profit","Crosby House","Aberdeen","Aberdeen City","24/11/2023",5,5,4,4,5,"31/10/2023","2011_10",1,0
"Mental Health Problems","Private","Hillcrest House","Nairn","Highland","02/11/2022",4,5,5,5,5,"12/10/2022","2011_9",0,0
"Older People","Private","Lorimer House Nursing Home","Edinburgh","City of Edinburgh","13/08/2021",4,4,4,4,4,"06/08/2021","2011_10",0,0
"Older People","Private","Carnbroe Care Centre","Coatbridge","North Lanarkshire","21/07/2023",4,4,4,4,4,"26/06/2023","2011_10",0,0
"Older People","Private","Blanefield Care Home","Glasgow","Stirling","10/10/2023",4,4,4,4,4,"21/09/2023","2011_11",0,0
"Older People","Private","Crossgate Care Centre","Kilmarnock","East Ayrshire","15/05/2024",4,4,4,4,4,"26/04/2024","2011_10",0,0
"Older People","Private","Annfield House","Stirling","Stirling","08/01/2024",4,4,4,5,4,"14/12/2023","2011_10",0,0
"Older People","Private","Barleystone","Falkirk","Falkirk","13/05/2024",4,5,4,4,4,"06/05/2024","2011_10",2,0
