"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Child Minding",NA,"Private","Roles, Gayle","Airdrie",NA,NA,"No","2008_8",NA,"North Lanarkshire",1,6,"Children","5 or 6",5,5,"Same","02/08/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","06/07/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self-Directed Support Services (Glasgow)","Glasgow","G20 0AA","Wheatley Care","No","2008_5",NA,"Glasgow City",24.5,0,"Adults","5 or 6",5,5,"Same","03/03/2020",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/01/2020"
"Support Service","Care at Home","Voluntary or Not for Profit","Wheatley Care Personalised and Self-Directed Support Services (Glasgow)","Glasgow","G20 0AA","Wheatley Care","No","2008_5",NA,"Glasgow City",0.1,0,"Adults","5 or 6",5,5,"Same","03/03/2020",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/01/2020"
"Care Home Service","Older People","Voluntary or Not for Profit","St. Catherine's","Lanark","ML11 7JS","Daughters Of Charity Of St Vincent De Paul","No","2009_9","Older people - frailty","South Lanarkshire",NA,10,"Adults","5 or 6",5,6,"Same","19/02/2020",6,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/04/2022"
"Day Care of Children","Day Care of Children (under 3s)","Private","The Croft Nurseries Ltd","Stonehaven","AB39 2EJ","The Croft Nurseries Ltd","No","2008_5",NA,"Aberdeenshire",36.5,133,"Children","Mix",4,4,"Same","14/09/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"18/07/2022"
"Care Home Service","Older People","Private","Hector House (Glasgow) Ltd","Glasgow","G41 3RL","Hector House (Glasgow) Ltd","No","2008_5","Older people - dementia","Glasgow City",5.3,16,"Adults","Mix",3,4,"Same","07/10/2021",4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"01/10/2021"
"Child Minding",NA,"Private","Pratt, Kelly-Marie","Edinburgh",NA,NA,"No","2009_5",NA,"City of Edinburgh",NA,6,"Children","Mix",4,4,"Same","08/03/2018",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31/01/2018"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Eastfield Primary School Nursery Class","Glasgow","G68 9JR","North Lanarkshire Council","Yes","2008_8",NA,"North Lanarkshire",3,54,"Children","Mix",4,5,"Same","28/04/2023",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"15/03/2023"
"Child Minding",NA,"Private","Campbell, Lyndsay","Saltcoats",NA,NA,"No","2009_3",NA,"North Ayrshire",NA,6,"Children","Mix",4,5,"Same","02/08/2019",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/04/2019"
"Child Minding",NA,"Private","Porter-Smith, Rebecca","Helensburgh",NA,NA,"No","2008_6",NA,"Argyll & Bute",1,6,"Children","Mix",4,6,"Same","05/07/2019",NA,NA,5,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/06/2019"
"Child Minding",NA,"Private","Star Kidz Childminding","Glasgow",NA,NA,"No","2008_9",NA,"Glasgow City",NA,6,"Children","5 or 6",5,5,"Same","22/06/2020",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/01/2020"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Alloway Early Years Centre","Ayr","KA7 4QQ","South Ayrshire Council","Yes","2008_6",NA,"South Ayrshire",8.05,60,"Children","Mix",4,5,"Same","10/08/2023",NA,NA,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","25/05/2023"
"School Care Accommodation Service","Residential Special School","Private","Falkland House School","Cupar","KY15 7AE","House of Falkland Limited","No","2008_5",NA,"Fife",36.8,30,"Children","Mix",4,4,"Same","18/05/2023",4,4,4,4,4,NA,NA,NA,1,NA,NA,NA,NA,"Inspected but no requirements",NA,"19/12/2022"
"Support Service","Care at Home","Private","Perth Homecare Services","Perth","PH1 5NP","Perth Homecare Services Scotland Limited","No","2009_7",NA,"Perth & Kinross",30,0,"Adults","Mix",4,5,"Same","27/01/2020",5,5,NA,4,4,NA,1,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"03/02/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Hillcrest Futures - Perthshire Services","Crieff","PH7 4DL","Hillcrest Futures Limited","No","2008_9",NA,"Perth & Kinross",24.7,0,"Adults","5 or 6",5,5,"Same","21/06/2019",5,5,NA,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"30/04/2019"
"Support Service","Care at Home","Voluntary or Not for Profit","Hillcrest Futures - Perthshire Services","Crieff","PH7 4DL","Hillcrest Futures Limited","No","2008_10",NA,"Perth & Kinross",45.5,5,"Adults","5 or 6",5,5,"Same","21/06/2019",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/04/2019"
"Child Minding",NA,"Private","Rodgers, Wendy","Edinburgh",NA,NA,"No","2008_9",NA,"City of Edinburgh",NA,6,"Children","Mix",4,5,"Same","26/02/2019",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/11/2018"
"Day Care of Children","Day Care of Children (under 3s)","Private","Buttons & Bows Nursery","Glasgow","G52 3LZ","Buttons & Bows Nursery","No","2008_10",NA,"Glasgow City",16.7,78,"Children","Mix",4,5,"Same","21/01/2020",NA,NA,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/01/2020"
"Care Home Service","Children & Young People","Private","Care Visions - Westerhill Farmhouse","Glasgow","G64 1UN","Care Visions Group Limited","No","2009_7",NA,"North Lanarkshire",3,3,"Children","5 or 6",5,5,"Same","25/09/2022",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/04/2022"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Drakies Primary School Nursery","Inverness","IV2 3SG","Highland Council","Yes","2008_8",NA,"Highland",5.33,66,"Children","Mix",4,5,"Same","02/11/2022",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"28/09/2022"
"Day Care of Children","Day Care of Children (under 3s)","Private","Pinocchio's Children's Nursery - Gilmerton","Edinburgh","EH17 7AB","Pinocchio's Children's Nursery Ltd","No","2008_8",NA,"City of Edinburgh",10,48,"Children","Mix",4,4,"Same","15/07/2021",NA,NA,4,4,4,4,NA,1,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"17/06/2021"
"Child Minding",NA,"Private","Tibbetts, Gillian","Broxburn",NA,NA,"No","2011_3",NA,"West Lothian",NA,6,"Children","Mix",4,5,"Same","11/01/2017",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/10/2012"
"Child Minding",NA,"Private","Doig, Alice","Burntisland",NA,NA,"No","2008_11",NA,"Fife",NA,6,"Children","Mix",4,5,"Same","20/12/2018",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/11/2018"
"Day Care of Children","Day Care of Children (under 3s)","Private","Sinclair Nursery","Glasgow","G42 9QE","Sinclair Nursery Limited","No","2008_8",NA,"Glasgow City",30,98,"Children","Mix",3,4,"Decline","01/09/2023",NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","09/08/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Wheatley Care Personalised and Self Directed Support Services (Falkirk and Grangemouth)","Grangemouth","FK3 9EQ","Wheatley Care","No","2008_8",NA,"Falkirk",18.78,0,"Adults","5 or 6",5,5,"Same","10/05/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"10/03/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Wheatley Care Personalised and Self Directed Support Services (Falkirk and Grangemouth)","Grangemouth","FK3 9EQ","Wheatley Care","No","2008_8",NA,"Falkirk",0.01,0,"Adults","5 or 6",5,5,"Same","10/05/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/03/2023"
"Care Home Service","Children & Young People","Local Authority","Wheatlands","Galashiels","TD1 1QR","Scottish Borders Council","Yes","2009_1",NA,"Scottish Borders",10.55,7,"Children","5 or 6",6,6,"Same","25/09/2022",6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"18/05/2022"
"Support Service","Other than Care at home","Local Authority","Newberry Rooney","Hamilton","ML3 0BN","South Lanarkshire Council","Yes","2008_6",NA,"South Lanarkshire",25.6,24,"Adults","Mix",4,5,"Same","21/12/2016",5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/07/2013"
"Housing Support Service",NA,"Voluntary or Not for Profit","The Pleasance/East Adam Street","Edinburgh","EH8 9UE","Salvation Army","No","2008_6",NA,"City of Edinburgh",21,0,"Adults","Mix",4,5,"Same","01/11/2018",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/08/2018"
"Support Service","Other than Care at home","Voluntary or Not for Profit","Edinburgh Outreach","Edinburgh","EH11 3AF","Autism Initiatives (UK)","No","2008_6",NA,"City of Edinburgh",13.05,44,"Adults","5 or 6",5,5,"Same","16/03/2018",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/02/2018"
"Support Service","Care at Home","Voluntary or Not for Profit","Hillcrest Futures Edinburgh and Glasgow","Edinburgh","EH11 1DQ","Hillcrest Futures Limited","No","2009_6",NA,"City of Edinburgh",0.01,0,"Adults","5 or 6",5,5,"Same","02/08/2019",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/05/2019"
"Housing Support Service",NA,"Voluntary or Not for Profit","Hillcrest Futures Edinburgh and Glasgow","Edinburgh","EH11 1DQ","Hillcrest Futures Limited","No","2009_6",NA,"City of Edinburgh",36.5,0,"Adults","5 or 6",5,5,"Same","02/08/2019",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/05/2019"
"Child Minding",NA,"Private","Allan, Brenda","Largs",NA,NA,"No","2009_1",NA,"North Ayrshire",NA,6,"Children","5 or 6",5,5,"Same","10/04/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19/02/2019"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","The Secret Garden Outdoor Nursery","Cupar","KY15 7RS","The Secret Garden Outdoor Nursery","No","2008_9",NA,"Fife",5.5,28,"Children","5 or 6",5,5,"Same","13/06/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Yes","Inspected but no requirements","24/05/2023"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Addiewell Early Years Centre","West Calder","EH55 8PG","West Lothian Council","Yes","2008_10",NA,"West Lothian",2.05,74,"Children","5 or 6",5,5,"Same","21/03/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"08/02/2023"
"Child Minding",NA,"Private","Philip, Gillian","Motherwell",NA,NA,"No","2009_12",NA,"North Lanarkshire",NA,6,"Children","Mix",3,4,"Same","11/04/2022",NA,NA,4,NA,3,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"17/03/2022"
"Care Home Service","Older People","Private","Muirfield Nursing Home","Gullane","EH31 2HA","Randolph Hill Nursing Homes (Scotland) Ltd","No","2008_9","Older people - frailty","East Lothian",0,60,"Adults","Mix",4,5,"Same","19/09/2023",4,4,5,5,5,NA,NA,1,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","06/09/2023"
"Child Minding",NA,"Private","Green, Agnes","Dumfries",NA,NA,"No","2008_8",NA,"Dumfries & Galloway",2,12,"Children","5 or 6",5,5,"Same","04/08/2022",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"29/07/2022"
"Child Minding",NA,"Private","Sandy Pryde Childminding Service","Livingston",NA,NA,"No","2008_11",NA,"West Lothian",NA,7,"Children","5 or 6",5,5,"Same","30/10/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/09/2018"
"Housing Support Service",NA,"Voluntary or Not for Profit","Quarriers East Ayrshire Supported Living Service","Kilmarnock","KA1 1QW","Quarriers","No","2008_6",NA,"East Ayrshire",40.4,23,"Adults","Mix",4,5,"Same","06/03/2023",5,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"02/03/2023"
"Child Minding",NA,"Private","MacKenzie, Audrey","Alness",NA,NA,"No","2009_9",NA,"Highland",NA,6,"Children","5 or 6",5,6,"Same","28/10/2019",NA,NA,5,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06/09/2019"
"Day Care of Children","Day Care of Children (under 3s)","Private","Treetops Too","Saltcoats","KA21 6LR","Collin Care Limited","No","2008_7",NA,"North Ayrshire",10.1,59,"Children","Mix",3,3,"Same","21/12/2022",NA,NA,3,3,3,3,NA,1,NA,NA,NA,NA,"Inspected but no requirements","Yes","Inspected but no requirements","28/09/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Visualise Housing Support and Care at Home","Edinburgh","EH7 5QY","Visualise Scotland","No","2008_9",NA,"City of Edinburgh",53,0,"Adults","5 or 6",5,5,"Same","14/07/2020",5,5,NA,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"07/02/2020"
"Care Home Service","Older People","Voluntary or Not for Profit","Braeburn Home","Edinburgh","EH3 5NU","Braeburn Home","No","2008_6","Older people - frailty","City of Edinburgh",30.3,17,"Adults","Mix",3,3,"Same","18/11/2020",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/11/2020"
"Child Minding",NA,"Private","Mirza, Rifat","Galashiels",NA,NA,"No","2009_2",NA,"Scottish Borders",NA,8,"Children","5 or 6",5,5,"Same","30/07/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/07/2018"
"Fostering Service",NA,"Voluntary or Not for Profit","Action for Children - Gael Og Fostering","Inverness","IV1 1LE","Action for Children","No","2008_5",NA,"Highland",3.38,NA,"Children","5 or 6",5,5,"Same","22/08/2023",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","26/06/2023"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Moffat Early Years Campus","Edinburgh","EH16 4NU","City of Edinburgh Council","Yes","2008_8",NA,"City of Edinburgh",27.9,162,"Children","Mix",4,4,"Same","27/06/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","11/05/2023"
"Child Minding",NA,"Private","McLevy, Angela","Glasgow",NA,NA,"No","2009_2",NA,"Glasgow City",NA,6,"Children","5 or 6",5,5,"Same","26/06/2018",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/05/2018"
"Day Care of Children","Day Care of Children (under 3s)","Private","Musselburgh Private Nursery","Musselburgh","EH21 6AA","Musselburgh Private Nursery Ltd","No","2008_6",NA,"East Lothian",14,57,"Children","Mix",4,4,"Same","08/08/2023",NA,NA,4,4,4,4,1,NA,NA,NA,NA,NA,"Inspected but no requirements","Yes","Inspected but no requirements","13/07/2023"
"Child Minding",NA,"Private","Rosie's Blossoms","Kirkliston",NA,NA,"No","2010_1",NA,"City of Edinburgh",NA,6,"Children","5 or 6",5,5,"Same","21/09/2016",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31/01/2012"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","St. Patrick's Primary School Nursery","Denny","FK6 6DW","Falkirk Council","Yes","2008_8",NA,"Falkirk",9.6,64,"Children","5 or 6",5,5,"Same","31/05/2016",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/05/2013"
"Day Care of Children","Day Care of Children (under 3s)","Private","Early Steps Nursery","Bathgate","EH48 2EH","Carol & Graham Armstrong a Partnership","No","2008_8",NA,"West Lothian",8.93,63,"Children","Mix",3,4,"Same","17/07/2023",NA,NA,4,3,4,4,NA,NA,NA,NA,NA,NA,"Yes","Yes","Inspected but no requirements","12/06/2023"
"Day Care of Children","Day Care of Children (over 3s)","Private","St. Fillan's Out of School Care","Glasgow","G44 5AF","Sweeney, Monica","No","2008_6",NA,"Glasgow City",3.75,80,"Children","5 or 6",5,6,"Same","04/12/2017",NA,NA,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18/10/2017"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Tranent Out of School Club","Tranent","EH33 1DA","Tranent Out of School Club, an Association","No","2008_10",NA,"East Lothian",2.97,55,"Children","Mix",4,5,"Same","11/04/2018",NA,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/02/2018"
"Housing Support Service",NA,"Private","Gibson Training and Care Limited","Leven","KY8 3RS","Gibson Training and Care Limited","No","2008_6",NA,"Fife",22.3,0,"Adults","Mix",4,5,"Same","02/05/2023",5,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","14/04/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Alltots Nursery","Glasgow","G13 2HE","Alltots Ltd","No","2009_1",NA,"Glasgow City",9.25,53,"Children","5 or 6",5,6,"Same","20/11/2018",NA,NA,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/11/2018"
"Child Minding",NA,"Private","Gale, Alyson","Forfar",NA,NA,"No","2009_3",NA,"Angus",1,6,"Children","Mix",3,5,"Same","20/08/2018",NA,NA,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/07/2018"
"Child Minding",NA,"Private","Howard, Caroline","Edinburgh",NA,NA,"No","2009_2",NA,"City of Edinburgh",NA,6,"Children","5 or 6",5,5,"Same","12/05/2016",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,2,NA,NA,NA,"04/02/2016"
"Care Home Service","Respite Care and Short Breaks","Local Authority","Anam Cara","Beith","KA15 1EQ","North Ayrshire Council","Yes","2009_4","Older people - dementia","North Ayrshire",20.59,8,"Adults","Mix",4,5,"Same","09/03/2023",5,4,5,4,5,NA,1,1,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"16/02/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","South Ayrshire Women's Aid","Ayr",NA,"South Ayrshire Women's Aid an incorporated association","No","2009_11",NA,"South Ayrshire",12.71,15,"Adults","Mix",4,5,"Same","14/12/2017",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/11/2017"
"Day Care of Children","Day Care of Children (under 3s)","Private","Cherrytrees - Hawick","Hawick","TD9 9QF","Cherrytrees Childrens Nurseries Limited","No","2008_7",NA,"Scottish Borders",13.75,63,"Children","Mix",4,4,"Same","14/10/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"23/08/2021"
"Day Care of Children","Day Care of Children (under 3s)","Private","Hop, Skip & Jump Nursery","Forres","IV36 1BL","Beth Campbell","No","2008_8",NA,"Moray",3.5,34,"Children","Mix",4,4,"Same","10/03/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/01/2021"
"Child Minding",NA,"Private","Hislop, Kirsty","Lossiemouth",NA,NA,"No","2009_2",NA,"Moray",1,6,"Children","5 or 6",5,5,"Same","31/08/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","27/07/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Quarriers East Ayrshire Supported Living Service","Kilmarnock","KA1 1QW","Quarriers","No","2008_6",NA,"East Ayrshire",0.1,23,"Adults","Mix",4,5,"Same","06/03/2023",5,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02/03/2023"
"Child Minding",NA,"Private","Waugh, Maureen","Maybole",NA,NA,"No","2009_1",NA,"South Ayrshire",1,6,"Children","5 or 6",5,5,"Same","06/07/2018",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06/06/2018"
"Child Minding",NA,"Private","Larman, Fiona","Glasgow",NA,NA,"No","2009_7",NA,"East Dunbartonshire",NA,7,"Children","5 or 6",5,5,"Same","17/03/2020",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/01/2020"
"Child Minding",NA,"Private","Lawson, Lynne","Falkirk",NA,NA,"No","2009_5",NA,"Falkirk",NA,6,"Children","5 or 6",5,5,"Same","28/09/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/08/2017"
"Care Home Service","Children & Young People","Private","Blane Cottage","Maidens","KA26 9NF","Radical Services Ltd","No","2009_8",NA,"South Ayrshire",2,2,"Children","Mix",4,4,"Same","25/09/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"28/06/2022"
"Child Minding",NA,"Private","Lang, Gillian","Airdrie",NA,NA,"No","2009_9",NA,"North Lanarkshire",NA,6,"Children","5 or 6",5,5,"Same","24/06/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/05/2019"
"Child Minding",NA,"Private","Donnelly, Jacqueline","Galston",NA,NA,"No","2009_4",NA,"East Ayrshire",NA,6,"Children","Mix",4,5,"Same","30/05/2018",NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/04/2018"
"Child Minding",NA,"Private","Safe 'n' Sound Childminding Service","Falkirk",NA,NA,"No","2009_2",NA,"Falkirk",NA,8,"Children","5 or 6",5,5,"Same","04/10/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/08/2019"
"School Care Accommodation Service","Residential Special School","Private","Sunderland House","Dunoon","PA23 8EE","Spark of Genius (Training) Ltd","No","2008_8",NA,"Argyll & Bute",10,5,"Children","Mix",3,3,"Same","10/07/2023",3,3,3,3,3,NA,1,NA,NA,NA,NA,NA,"Yes","Yes","Yes","14/06/2023"
"Child Minding",NA,"Private","Spicer, Jackie","Invergordon",NA,NA,"No","2009_6",NA,"Highland",NA,6,"Children","Mix",4,5,"Same","09/08/2023",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","10/07/2023"
"Support Service","Care at Home","Voluntary or Not for Profit","Turning Point Scotland - Perth & Kinross","Perth","PH2 8BD","Turning Point Scotland","No","2008_6",NA,"Perth & Kinross",0.01,4,"Adults","5 or 6",5,5,"Same","21/05/2019",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/04/2019"
"Day Care of Children","Day Care of Children (under 3s)","Local Authority","Crookston Early Years Centre","Glasgow","G53 5SD","Glasgow City Council","Yes","2009_2",NA,"Glasgow City",18,65,"Children","Mix",4,6,"Same","27/11/2018",NA,NA,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/09/2018"
"Child Minding",NA,"Private","Halliday, Suzanne","Edinburgh",NA,NA,"No","2008_10",NA,"City of Edinburgh",NA,6,"Children","Mix",4,5,"Same","23/12/2016",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/01/2016"
"Support Service","Care at Home","Voluntary or Not for Profit","Crossroads Caring Scotland - Forth Valley Service","Alloa","FK10 3LP","Crossroads Caring Scotland","No","2008_9",NA,"Clackmannanshire",12.22,0,"Adults","Mix",4,5,"Same","06/03/2023",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"01/02/2023"
"Day Care of Children","Day Care of Children (under 3s)","Private","Fairmile House Nursery","Edinburgh","EH10 7AU","Christina Ritchie","No","2009_1",NA,"City of Edinburgh",5.9,55,"Children","1 or 2",1,1,"Same","30/08/2023",NA,NA,1,1,1,1,NA,NA,1,NA,NA,2,NA,"Yes","Yes","19/07/2023"
"Housing Support Service",NA,"Voluntary or Not for Profit","Open Door Accommodation Project","Livingston","EH54 5EH","Open Door Scotland","No","2012_2",NA,"West Lothian",18.49,0,"Adults","5 or 6",5,5,"Same","17/09/2020",5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/02/2020"
"Day Care of Children","Day Care of Children (under 3s)","Private","The Wendy House","Perth","PH1 1JD","Catriona Davie trading as The Wendy House","No","2008_7",NA,"Perth & Kinross",11,56,"Children","Mix",4,5,"Same","30/10/2019",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/09/2019"
"Child Minding",NA,"Private","Kane, Gillian","Kilbirnie",NA,NA,"No","2008_10",NA,"North Ayrshire",NA,6,"Children","5 or 6",5,5,"Same","19/05/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"16/03/2023"
"Child Minding",NA,"Private","Robertson, Moira","Ayr",NA,NA,"No","2009_1",NA,"South Ayrshire",1,6,"Children","5 or 6",5,5,"Same","21/05/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/04/2018"
"Child Minding",NA,"Private","Murdoch, Tracy","Prestwick",NA,NA,"No","2009_5",NA,"South Ayrshire",NA,6,"Children","Mix",4,5,"Same","25/09/2019",NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26/08/2019"
"Care Home Service","Older People","Private","Fidra House","North Berwick","EH39 4QL","Randolph Hill Nursing Homes (Scotland) Ltd","No","2008_9","Older people - dementia","East Lothian",0,60,"Adults","Mix",4,5,"Same","02/08/2022",4,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"26/07/2022"
"Support Service","Care at Home","Voluntary or Not for Profit","Ben View Community Bathing Service","Dumbarton","G82 1BA","Ben View Resource Centre","No","2010_10",NA,"West Dunbartonshire",3.2,0,"Adults","Mix",4,5,"Same","01/10/2019",5,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/08/2019"
"Day Care of Children","Day Care of Children (under 3s)","Private","Cabbage Patch Nursery","Wishaw","ML2 0EQ","Collin Care Limited","No","2008_9",NA,"North Lanarkshire",9.37,38,"Children","Mix",4,5,"Same","30/10/2018",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/09/2018"
